English_Term,Malayalam_Translation
abdominal pain,വയറുവേദന
abnormal,അസാധാരണമായ
abrasions,ചതവുകൾ
abscess,പഴുപ്പ് കെട്ടൽ
acid reflux,അസിഡിറ്റി
acidosis,അസിഡോസിസ്
acute relief,താൽക്കാലിക ആശ്വാസം
acute,ഗുരുതരമായ
activity,പ്രവർത്തനം
adhesion,ഒട്ടിച്ചേരൽ
administer,നൽകുക
adverse effect,പാർശ്വഫലം
allergic rhinitis,അലർജി മൂലമുള്ള മൂക്കൊലിപ്പ്
allergic,അലർജി
ambulatory,നടക്കാൻ കഴിയുന്ന
amlodipine,ആംലോഡിപിൻ
amputation,അവയവം മുറിച്ചുമാറ്റൽ
anemia,രക്തക്കുറവ്
anesthesia,മയക്കം നൽകൽ
aneurysm,ധമനിയിലെ വീക്കം
angina,നെഞ്ചുവേദന
angioplasty,ആൻജിയോപ്ലാസ്റ്റി
antibiotics,അണുബാധയ്ക്കുള്ള മരുന്നുകൾ
anticoagulant,രക്തം കട്ടപിടിക്കുന്നത് തടയുന്ന മരുന്ന്
antihypertensive,രക്തസമ്മർദ്ദത്തിനുള്ള
antiviral,വൈറസിനെതിരെയുള്ള
anxiety,ഉത്കണ്ഠ
aorta,മഹാധമനി
appendectomy,അപ്പെൻഡെക്റ്റമി
appetite,വിശപ്പ്
arrhythmia,താളം തെറ്റിയ ഹൃദയമിടിപ്പ്
artery,ധമനി
arthritis,വാതം
assessment,പരിശോധന
asthma,ആസ്ത്മ
asymptomatic,ലക്ഷണങ്ങളില്ലാത്ത
atrophy,പേശികൾ ശോഷിക്കുന്നത്
audible wheezing,പുറത്തേക്ക് കേൾക്കാവുന്ന തരത്തിലുള്ള വലിവ്
auscultation,പരിശോധന
autoimmune,പ്രതിരോധ വ്യവസ്ഥയുമായി ബന്ധപ്പെട്ട
avoid NSAIDs,വേദനസംഹാരികൾ ഒഴിവാക്കുക
avoid,ഒഴിവാക്കുക
axilla,കക്ഷം
backbone,നട്ടെല്ല്
bacterial infection,ബാക്ടീരിയ മൂലമുള്ള അണുബാധ
benign,അപകടകരമല്ലാത്ത
bilateral,രണ്ട് വശത്തും
bilirubin,ബിലിറൂബിൻ
biopsy,കോശപരിശോധന
bladder,മൂത്രസഞ്ചി
blood culture,രക്തപരിശോധന
blood pressure,രക്തസമ്മർദ്ദം
blood sugar,രക്തത്തിലെ പഞ്ചസാര
